code,min_wage,max_wage,employee_amount,employer_amount,calculation_method
EPF_LOCAL,1460.01,1480.00,163.00,193.00,fixed
EPF_LOCAL,1480.01,1500.00,165.00,195.00,fixed
EPF_LOCAL,1500.01,1520.00,168.00,198.00,fixed
EPF_LOCAL,1520.01,1540.00,170.00,201.00,fixed
EPF_LOCAL,1540.01,1560.00,172.00,203.00,fixed
EPF_LOCAL,1560.01,1580.00,174.00,206.00,fixed
EPF_LOCAL,1580.01,1600.00,176.00,208.00,fixed
EPF_LOCAL,1600.01,1620.00,179.00,211.00,fixed
EPF_LOCAL,1620.01,1640.00,181.00,214.00,fixed
EPF_LOCAL,1640.01,1660.00,183.00,216.00,fixed
EPF_LOCAL,1660.01,1680.00,185.00,219.00,fixed
EPF_LOCAL,1680.01,1700.00,187.00,221.00,fixed
EPF_LOCAL,1700.01,1720.00,190.00,224.00,fixed
EPF_LOCAL,1720.01,1740.00,192.00,227.00,fixed
EPF_LOCAL,1740.01,1760.00,194.00,229.00,fixed
EPF_LOCAL,1760.01,1780.00,196.00,232.00,fixed
EPF_LOCAL,1780.01,1800.00,198.00,234.00,fixed
EPF_LOCAL,1800.01,1820.00,201.00,237.00,fixed
EPF_LOCAL,1820.01,1840.00,203.00,240.00,fixed
EPF_LOCAL,1840.01,1860.00,205.00,242.00,fixed
EPF_LOCAL,1860.01,1880.00,207.00,245.00,fixed
EPF_LOCAL,1880.01,1900.00,209.00,247.00,fixed
EPF_LOCAL,1900.01,1920.00,212.00,250.00,fixed
EPF_LOCAL,1920.01,1940.00,214.00,253.00,fixed
EPF_LOCAL,1940.01,1960.00,216.00,255.00,fixed
EPF_LOCAL,1960.01,1980.00,218.00,258.00,fixed
EPF_LOCAL,1980.01,2000.00,220.00,260.00,fixed
EPF_LOCAL,2000.01,2020.00,223.00,263.00,fixed
EPF_LOCAL,2020.01,2040.00,225.00,266.00,fixed
EPF_LOCAL,2040.01,2060.00,227.00,268.00,fixed
EPF_LOCAL,2060.01,2080.00,229.00,271.00,fixed
EPF_LOCAL,2080.01,2100.00,231.00,273.00,fixed
EPF_LOCAL,2100.01,2120.00,234.00,276.00,fixed
EPF_LOCAL,2120.01,2140.00,236.00,279.00,fixed
EPF_LOCAL,2140.01,2160.00,238.00,281.00,fixed
EPF_LOCAL,2160.01,2180.00,240.00,284.00,fixed
EPF_LOCAL,2180.01,2200.00,242.00,286.00,fixed
EPF_LOCAL,2200.01,2220.00,245.00,289.00,fixed
EPF_LOCAL,2220.01,2240.00,247.00,292.00,fixed
EPF_LOCAL,2240.01,2260.00,249.00,294.00,fixed
EPF_LOCAL,2260.01,2280.00,251.00,297.00,fixed
EPF_LOCAL,2280.01,2300.00,253.00,299.00,fixed
EPF_LOCAL,2300.01,2320.00,256.00,302.00,fixed
EPF_LOCAL,2320.01,2340.00,258.00,305.00,fixed
EPF_LOCAL,2340.01,2360.00,260.00,307.00,fixed
EPF_LOCAL,2360.01,2380.00,262.00,310.00,fixed
EPF_LOCAL,2380.01,2400.00,264.00,312.00,fixed
EPF_LOCAL,2400.01,2420.00,267.00,315.00,fixed
EPF_LOCAL,2420.01,2440.00,269.00,318.00,fixed
EPF_LOCAL,2440.01,2460.00,271.00,320.00,fixed
EPF_LOCAL,2460.01,2480.00,273.00,323.00,fixed
EPF_LOCAL,2480.01,2500.00,275.00,325.00,fixed
EPF_LOCAL,2500.01,2520.00,278.00,328.00,fixed
EPF_LOCAL,2520.01,2540.00,280.00,331.00,fixed
EPF_LOCAL,2540.01,2560.00,282.00,333.00,fixed
EPF_LOCAL,2560.01,2580.00,284.00,336.00,fixed
EPF_LOCAL,2580.01,2600.00,286.00,338.00,fixed
EPF_LOCAL,2600.01,2620.00,289.00,341.00,fixed
EPF_LOCAL,2620.01,2640.00,291.00,344.00,fixed
EPF_LOCAL,2640.01,2660.00,293.00,346.00,fixed
EPF_LOCAL,2660.01,2680.00,295.00,349.00,fixed
EPF_LOCAL,2680.01,2700.00,297.00,351.00,fixed
EPF_LOCAL,2700.01,2720.00,300.00,354.00,fixed
EPF_LOCAL,2720.01,2740.00,302.00,357.00,fixed
EPF_LOCAL,2740.01,2760.00,304.00,359.00,fixed
EPF_LOCAL,2760.01,2780.00,306.00,362.00,fixed
EPF_LOCAL,2780.01,2800.00,308.00,364.00,fixed
EPF_LOCAL,2800.01,2820.00,311.00,367.00,fixed
EPF_LOCAL,2820.01,2840.00,313.00,370.00,fixed
EPF_LOCAL,2840.01,2860.00,315.00,372.00,fixed
EPF_LOCAL,2860.01,2880.00,317.00,375.00,fixed
EPF_LOCAL,2880.01,2900.00,319.00,377.00,fixed
EPF_LOCAL,2900.01,2920.00,322.00,380.00,fixed
EPF_LOCAL,2920.01,2940.00,324.00,383.00,fixed
EPF_LOCAL,2940.01,2960.00,326.00,385.00,fixed
EPF_LOCAL,2960.01,2980.00,328.00,388.00,fixed
EPF_LOCAL,2980.01,3000.00,330.00,390.00,fixed
EPF_LOCAL,3000.01,3020.00,333.00,393.00,fixed
EPF_LOCAL,3020.01,3040.00,335.00,396.00,fixed
EPF_LOCAL,3040.01,3060.00,337.00,398.00,fixed
EPF_LOCAL,3060.01,3080.00,339.00,401.00,fixed
EPF_LOCAL,3080.01,3100.00,341.00,403.00,fixed
EPF_LOCAL,3100.01,3120.00,344.00,406.00,fixed
EPF_LOCAL,3120.01,3140.00,346.00,409.00,fixed
EPF_LOCAL,3140.01,3160.00,348.00,411.00,fixed
EPF_LOCAL,3160.01,3180.00,350.00,414.00,fixed
EPF_LOCAL,3180.01,3200.00,352.00,416.00,fixed
EPF_LOCAL,3200.01,3220.00,355.00,419.00,fixed
EPF_LOCAL,3220.01,3240.00,357.00,422.00,fixed
EPF_LOCAL,3240.01,3260.00,359.00,424.00,fixed
EPF_LOCAL,3260.01,3280.00,361.00,427.00,fixed
EPF_LOCAL,3280.01,3300.00,363.00,429.00,fixed
EPF_LOCAL,3300.01,3320.00,366.00,432.00,fixed
EPF_LOCAL,3320.01,3340.00,368.00,435.00,fixed
EPF_LOCAL,3340.01,3360.00,370.00,437.00,fixed
EPF_LOCAL,3360.01,3380.00,372.00,440.00,fixed
EPF_LOCAL,3380.01,3400.00,374.00,442.00,fixed
EPF_LOCAL,3400.01,3420.00,377.00,445.00,fixed
EPF_LOCAL,3420.01,3440.00,379.00,448.00,fixed
EPF_LOCAL,3440.01,3460.00,381.00,450.00,fixed
EPF_LOCAL,3460.01,3480.00,383.00,453.00,fixed
EPF_LOCAL,3480.01,3500.00,385.00,455.00,fixed
EPF_LOCAL,3500.01,3520.00,388.00,458.00,fixed
EPF_LOCAL,3520.01,3540.00,390.00,461.00,fixed
EPF_LOCAL,3540.01,3560.00,392.00,463.00,fixed
EPF_LOCAL,3560.01,3580.00,394.00,466.00,fixed
EPF_LOCAL,3580.01,3600.00,396.00,468.00,fixed
EPF_LOCAL,3600.01,3620.00,399.00,471.00,fixed
EPF_LOCAL,3620.01,3640.00,401.00,474.00,fixed
EPF_LOCAL,3640.01,3660.00,403.00,476.00,fixed
EPF_LOCAL,3660.01,3680.00,405.00,479.00,fixed
EPF_LOCAL,3680.01,3700.00,407.00,481.00,fixed
EPF_LOCAL,3700.01,3720.00,410.00,484.00,fixed
EPF_LOCAL,3720.01,3740.00,412.00,487.00,fixed
EPF_LOCAL,3740.01,3760.00,414.00,489.00,fixed
EPF_LOCAL,3760.01,3780.00,416.00,492.00,fixed
EPF_LOCAL,3780.01,3800.00,418.00,494.00,fixed
EPF_LOCAL,3800.01,3820.00,421.00,497.00,fixed
EPF_LOCAL,3820.01,3840.00,423.00,500.00,fixed
EPF_LOCAL,3840.01,3860.00,425.00,502.00,fixed
EPF_LOCAL,3860.01,3880.00,427.00,505.00,fixed
EPF_LOCAL,3880.01,3900.00,429.00,507.00,fixed
EPF_LOCAL,3900.01,3920.00,432.00,510.00,fixed
EPF_LOCAL,3920.01,3940.00,434.00,513.00,fixed
EPF_LOCAL,3940.01,3960.00,436.00,515.00,fixed
EPF_LOCAL,3960.01,3980.00,438.00,518.00,fixed
EPF_LOCAL,3980.01,4000.00,440.00,520.00,fixed
EPF_LOCAL,4000.01,4020.00,443.00,523.00,fixed
EPF_LOCAL,4020.01,4040.00,445.00,526.00,fixed
EPF_LOCAL,4040.01,4060.00,447.00,528.00,fixed
EPF_LOCAL,4060.01,4080.00,449.00,531.00,fixed
EPF_LOCAL,4080.01,4100.00,451.00,533.00,fixed
EPF_LOCAL,4100.01,4120.00,454.00,536.00,fixed
EPF_LOCAL,4120.01,4140.00,456.00,539.00,fixed
EPF_LOCAL,4140.01,4160.00,458.00,541.00,fixed
EPF_LOCAL,4160.01,4180.00,460.00,544.00,fixed
EPF_LOCAL,4180.01,4200.00,462.00,546.00,fixed
EPF_LOCAL,4200.01,4220.00,465.00,549.00,fixed
EPF_LOCAL,4220.01,4240.00,467.00,552.00,fixed
EPF_LOCAL,4240.01,4260.00,469.00,554.00,fixed
EPF_LOCAL,4260.01,4280.00,471.00,557.00,fixed
EPF_LOCAL,4280.01,4300.00,473.00,559.00,fixed
EPF_LOCAL,4300.01,4320.00,476.00,562.00,fixed
EPF_LOCAL,4320.01,4340.00,478.00,565.00,fixed
EPF_LOCAL,4340.01,4360.00,480.00,567.00,fixed
EPF_LOCAL,4360.01,4380.00,482.00,570.00,fixed
EPF_LOCAL,4380.01,4400.00,484.00,572.00,fixed
EPF_LOCAL,4400.01,4420.00,487.00,575.00,fixed
EPF_LOCAL,4420.01,4440.00,489.00,578.00,fixed
EPF_LOCAL,4440.01,4460.00,491.00,580.00,fixed
EPF_LOCAL,4460.01,4480.00,493.00,583.00,fixed
EPF_LOCAL,4480.01,4500.00,495.00,585.00,fixed
EPF_LOCAL,4500.01,4520.00,498.00,588.00,fixed
EPF_LOCAL,4520.01,4540.00,500.00,591.00,fixed
EPF_LOCAL,4540.01,4560.00,502.00,593.00,fixed
EPF_LOCAL,4560.01,4580.00,504.00,596.00,fixed
EPF_LOCAL,4580.01,4600.00,506.00,598.00,fixed
EPF_LOCAL,4600.01,4620.00,509.00,601.00,fixed
EPF_LOCAL,4620.01,4640.00,511.00,604.00,fixed
EPF_LOCAL,4640.01,4660.00,513.00,606.00,fixed
EPF_LOCAL,4660.01,4680.00,515.00,609.00,fixed
EPF_LOCAL,4680.01,4700.00,517.00,611.00,fixed
EPF_LOCAL,4700.01,4720.00,520.00,614.00,fixed
EPF_LOCAL,4720.01,4740.00,522.00,617.00,fixed
EPF_LOCAL,4740.01,4760.00,524.00,619.00,fixed
EPF_LOCAL,4760.01,4780.00,526.00,622.00,fixed
EPF_LOCAL,4780.01,4800.00,528.00,624.00,fixed
EPF_LOCAL,4800.01,4820.00,531.00,627.00,fixed
EPF_LOCAL,4820.01,4840.00,533.00,630.00,fixed
EPF_LOCAL,4840.01,4860.00,535.00,632.00,fixed
EPF_LOCAL,4860.01,4880.00,537.00,635.00,fixed
EPF_LOCAL,4880.01,4900.00,539.00,637.00,fixed
EPF_LOCAL,4900.01,4920.00,542.00,640.00,fixed
EPF_LOCAL,4920.01,4940.00,544.00,643.00,fixed
EPF_LOCAL,4940.01,4960.00,546.00,645.00,fixed
EPF_LOCAL,4960.01,4980.00,548.00,648.00,fixed
EPF_LOCAL,4980.01,5000.00,550.00,650.00,fixed
EPF_LOCAL,5000.01,5100.00,561.00,612.00,fixed
EPF_LOCAL,5100.01,5200.00,572.00,624.00,fixed
EPF_LOCAL,5200.01,5300.00,583.00,636.00,fixed
EPF_LOCAL,5300.01,5400.00,594.00,648.00,fixed
EPF_LOCAL,5400.01,5500.00,605.00,660.00,fixed
EPF_LOCAL,5500.01,5600.00,616.00,672.00,fixed
EPF_LOCAL,5600.01,5700.00,627.00,684.00,fixed
EPF_LOCAL,5700.01,5800.00,638.00,696.00,fixed
EPF_LOCAL,5800.01,5900.00,649.00,708.00,fixed
EPF_LOCAL,5900.01,6000.00,660.00,720.00,fixed
EPF_LOCAL,6000.01,,660.00,720.00,fixed
